ID,Module,Heuristic,Feature/Action,Required Role,Steps,Expected Result,Notes,In Scope (Current Run),Executable (Partner Admin Login)
UX-TEAM-03,Teams,Error prevention,Adding a Team Contact without an email is flagged before submit not just on save,Partner Administrator,While adding an Additional Team Contact fill Name/Phone and leave Email blank; observe the form before clicking submit.,The missing-email state is flagged inline (disabled submit or inline hint) rather than only surfacing after a failed save attempt.,Builds on TEAM-05/PROF-07 functional pass - those confirmed the block exists; this checks how early/clearly it is communicated.,Yes,Yes
UX-SUBU-01,Sub Users,Visibility of system status,Sub Users table reflects a newly created/edited/disabled user immediately,Partner Administrator,Create edit or disable a Sub User and return to the Sub Users table.,The table shows the change immediately without a manual page refresh.,,Yes,Yes
UX-SUBU-02,Sub Users,Recognition rather than recall,Associated Teams field is searchable/filterable rather than requiring scrolling a long list,Partner Administrator,Open New Sub User and interact with the Associated Teams selector.,"If the Teams list is long, the field supports typing to filter; note actual list length observed if short.",,Yes,Yes
UX-SUBU-03,Sub Users,Consistency and standards,Sub User create and edit forms use the same field order labels and layout,Partner Administrator,Open New Sub User then open Edit on an existing Sub User; compare the two forms.,Fields appear in the same order with the same labels and controls in both create and edit contexts.,,Yes,Yes
UX-SUBU-04,Sub Users,Flexibility and efficiency of use,Sub Users table can be searched/filtered without leaving the Partner's expanded view,Partner Administrator,Expand a Partner with several Sub Users and attempt to locate one by name/email.,A search or filter control is available directly on the Sub Users table not only on a separate global view.,,Yes,Yes
UX-CAT-01,Categories,Help and documentation,Auto-filled Description template is presented as editable starting text not locked or ambiguous,Any ticket-creating role,Select a Category/Subcategory with an associated template in New Ticket and inspect the Description field.,It is visually clear the field is pre-filled but still editable (not read-only not indistinguishable from placeholder text).,Builds on CAT-06 functional pass.,Yes,Yes
UX-CAT-02,Categories,Help users recognize/diagnose/recover from errors,A Partner Administrator blocked from Category Management gets a clear reason not a dead link,Partner Administrator,"As Partner Administrator, attempt to reach Category Management (via nav or URL if discoverable).",User sees a clear not-permitted state (or the option is simply absent from navigation) rather than a broken/blank page.,Builds on CAT-07 functional pass.,Yes,Yes
UX-PROF-01,Profiles,Visibility of system status,Saving an edit on a Team Profile confirms success and shows the updated value without navigating away,Partner Administrator,Edit an Additional Team Contact from the Team Profile view and save.,A confirmation appears and the updated value is visible on the same screen immediately.,,Yes,Yes
UX-PROF-02,Profiles,Consistency and standards,Team Profile data matches what's shown elsewhere with consistent field naming,Any,Compare a field's label and value on the Team Profile view against the same underlying data shown elsewhere (e.g. Sub Users table ticket Team column).,The same underlying field uses the same name and displays the same value across every view it appears in.,,Yes,Yes
UX-PROF-03,Profiles,Error prevention,Adding a contact without an Email on the Team Profile view is blocked with the same clarity as elsewhere,Partner Administrator,"Attempt to add a Team Profile contact with no Email, same check as UX-TEAM-03 from the Profile entry point.",Behavior and messaging match the Team-creation-flow equivalent - no inconsistency between entry points for the same rule.,Builds on PROF-07 functional pass.,Yes,Yes
UX-TICK-01,Tickets,Visibility of system status,Sending a ticket reply shows a sending/pending state and confirms once posted,Any interactive ticket role,Reply to a ticket and observe the UI between clicking Send and the reply appearing in the thread.,A pending/sending indicator appears; the new reply is visible in the thread immediately on success without a manual refresh.,Builds on TICK-16 functional pass.,Yes,Yes
UX-TICK-02,Tickets,User control and freedom,A ticket reply in progress can be safely abandoned without silently losing a long draft,Any interactive ticket role,"Start composing a lengthy reply, then navigate away or close the compose area.","The user is warned before losing unsaved reply content, or the draft is preserved if they return.",,Yes,Yes
UX-TICK-03,Tickets,Error prevention,The Close/Escalate/Re-open message-required rule is signaled before the user clicks the action,Any interactive ticket role,Open Close or Escalate on a ticket and observe the button/field state with no message typed yet.,The requirement is visible up front (disabled button with a hint or inline note) rather than only surfacing after a failed click.,Builds on TICK-19/20/21 functional passes/partials.,Yes,Yes
UX-TICK-04,Tickets,Recognition rather than recall,Active filters remain visible on the Tickets table so the user can see what's currently filtered,Any ticket-viewing role,Apply a filter (e.g. Status = Open) to the Tickets table.,An active filter is shown as a visible chip/label near the table distinguishing filtered results from the full list at a glance.,Builds on TICK-06 functional pass.,Yes,Yes
UX-TICK-05,Tickets,Flexibility and efficiency of use,Common ticket actions are reachable without excessive navigation depth,Any interactive ticket role,From the Tickets table open a ticket and locate the primary interactive actions.,"Reply/Close/Escalate are reachable within one click/screen from the open ticket view, not buried in a secondary menu.",,Yes,Yes
UX-TICK-06,Tickets,Aesthetic and minimalist design,Ticket thread visually distinguishes Submitter vs Agent messages beyond the text label alone,Any ticket-viewing role,Open a ticket thread with messages from both directions.,"Submitter and Agent messages are visually differentiated (alignment, color, avatar) in addition to the text label, aiding fast scanning.",Builds on TICK-23 functional result.,Yes,Yes
